group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Velocity,,7,7,elements,5358551995.0,ns,1
Velocity,,7,7,elements,5303034316.0,ns,1
Velocity,,7,7,elements,5023579387.0,ns,1
Velocity,,7,7,elements,5870434531.0,ns,1
Velocity,,7,7,elements,5530204199.0,ns,1
Velocity,,7,7,elements,5377788051.0,ns,1
Velocity,,7,7,elements,5498985116.0,ns,1
Velocity,,7,7,elements,5636087653.0,ns,1
Velocity,,7,7,elements,4881073318.0,ns,1
Velocity,,7,7,elements,5245155156.0,ns,1
